Time,z_daymax,z_daymin,z_dayrange
17-Oct-2019 00:00:00,0.967728861703856,-0.779531925160142,1.747260786864
18-Oct-2019 00:00:00,1.0382462916432,-0.755295792378279,1.79354208402147
19-Oct-2019 00:00:00,1.06584175118081,-0.700434240780631,1.76627599196144
20-Oct-2019 00:00:00,1.03949356214258,-0.612593246165842,1.65208680830843
21-Oct-2019 00:00:00,1.00510245259353,-0.580226651217777,1.58532910381131
22-Oct-2019 00:00:00,0.94537061548033,-0.570727873095394,1.51609848857572
23-Oct-2019 00:00:00,0.772710240812166,-0.491841668703884,1.26455190951605
24-Oct-2019 00:00:00,0.521400115041154,-0.332259154317859,0.853659269359013
25-Oct-2019 00:00:00,0.220231226047504,-0.176973863154143,0.397205089201647
26-Oct-2019 00:00:00,0.231940815221907,-0.212934873905373,0.44487568912728
27-Oct-2019 00:00:00,0.553625813441129,-0.469889209684126,1.02351502312525
28-Oct-2019 00:00:00,0.85170500485252,-0.738074670758593,1.58977967561111
29-Oct-2019 00:00:00,1.08334987332209,-0.919650210032582,2.00300008335467
30-Oct-2019 00:00:00,1.21964745496933,-0.996146160821324,2.21579361579065
31-Oct-2019 00:00:00,1.25161442563532,-0.978464548612495,2.23007897424782
01-Nov-2019 00:00:00,1.19095366984912,-0.884066729921328,2.07502039977045
02-Nov-2019 00:00:00,1.05599638484563,-0.737271551377417,1.79326793622304
03-Nov-2019 00:00:00,1.01072834929218,-0.567550879163605,1.57827922845579
04-Nov-2019 00:00:00,0.868855240595708,-0.398711458389641,1.26756669898535
05-Nov-2019 00:00:00,0.676348123675294,-0.292316768575977,0.968664892251271
06-Nov-2019 00:00:00,0.475394694205219,-0.227150568909526,0.702545263114745
07-Nov-2019 00:00:00,0.289348925208111,-0.182139686187122,0.471488611395233
08-Nov-2019 00:00:00,0.185677722482054,-0.154988131571997,0.340665854054051
09-Nov-2019 00:00:00,0.287215013709436,-0.200651094751569,0.487866108461005
10-Nov-2019 00:00:00,0.431960842712078,-0.374476903109628,0.806437745821706
11-Nov-2019 00:00:00,0.599349412316979,-0.536037812195236,1.13538722451221
12-Nov-2019 00:00:00,0.764647178696665,-0.675365031453498,1.44001221015016
13-Nov-2019 00:00:00,0.918187689327704,-0.775197055098048,1.69338474442575
14-Nov-2019 00:00:00,1.03892691075941,-0.829666628270047,1.86859353902946
15-Nov-2019 00:00:00,1.1180948414893,-0.844780315833337,1.96287515732264
16-Nov-2019 00:00:00,1.15078590607455,-0.819214915530585,1.97000082160514
17-Nov-2019 00:00:00,1.11922484192838,-0.756715129644994,1.87593997157337
18-Nov-2019 00:00:00,1.01541747784648,-0.664978182806039,1.68039566065252
19-Nov-2019 00:00:00,0.956912216439392,-0.553586373336857,1.51049858977625
20-Nov-2019 00:00:00,0.830679610559537,-0.433840236283736,1.26451984684327
21-Nov-2019 00:00:00,0.590283230066625,-0.317847232184976,0.908130462251601
22-Nov-2019 00:00:00,0.295843472705411,-0.216665060922396,0.512508533627807
23-Nov-2019 00:00:00,0.23589250999769,-0.223382624931817,0.459275134929507
24-Nov-2019 00:00:00,0.514821238548996,-0.328341711592526,0.843162950141522
25-Nov-2019 00:00:00,0.785563365623231,-0.59289466418792,1.37845802981115
26-Nov-2019 00:00:00,1.00933781832377,-0.788677519691565,1.79801533801533
27-Nov-2019 00:00:00,1.15728266261518,-0.902470430256971,2.05975309287215
28-Nov-2019 00:00:00,1.22652654086853,-0.935438956490163,2.16196549735869
29-Nov-2019 00:00:00,1.21145134349093,-0.900812935643105,2.11226427913404
30-Nov-2019 00:00:00,1.12227318451417,-0.819095535813164,1.94136872032733
01-Dec-2019 00:00:00,0.977851592780713,-0.71057199806605,1.68842359084676
02-Dec-2019 00:00:00,0.887041081060999,-0.593825301442347,1.48086638250335
03-Dec-2019 00:00:00,0.769640349877158,-0.480207379940515,1.24984772981767
04-Dec-2019 00:00:00,0.598808159824169,-0.375616299958916,0.974424459783085
05-Dec-2019 00:00:00,0.409762125576556,-0.290027306423373,0.699789431999929
06-Dec-2019 00:00:00,0.227263167748056,-0.225175967205546,0.452439134953602
07-Dec-2019 00:00:00,0.176496332191962,-0.20327595559487,0.379772287786831
08-Dec-2019 00:00:00,0.32275815599697,-0.270141353677831,0.592899509674801
09-Dec-2019 00:00:00,0.490396078491312,-0.404538674485491,0.894934752976802
10-Dec-2019 00:00:00,0.66809145481516,-0.543658771924302,1.21175022673946
11-Dec-2019 00:00:00,0.842108807595036,-0.665005191195868,1.5071139987909
12-Dec-2019 00:00:00,0.996160440153472,-0.757858318932576,1.75401875908605
13-Dec-2019 00:00:00,1.11164919734764,-0.812507183668537,1.92415638101618
14-Dec-2019 00:00:00,1.17025170355884,-0.832833906808902,2.00308561036774
15-Dec-2019 00:00:00,1.15731778906719,-0.816519908378737,1.97383769744593
16-Dec-2019 00:00:00,1.06543645085862,-0.768298857975177,1.83373530883379
17-Dec-2019 00:00:00,0.910178754785943,-0.697293526062859,1.6074722808488
18-Dec-2019 00:00:00,0.853700017244993,-0.614103575413688,1.46780359265868
19-Dec-2019 00:00:00,0.669094705741032,-0.532605234836801,1.20169994057783
20-Dec-2019 00:00:00,0.399692672194505,-0.460607821971474,0.860300494165979
21-Dec-2019 00:00:00,0.381687690886998,-0.397337799852753,0.779025490739751
22-Dec-2019 00:00:00,0.515669416831982,-0.352211800074393,0.867881216906375
23-Dec-2019 00:00:00,0.682299854654325,-0.404239406704734,1.08653926135906
24-Dec-2019 00:00:00,0.850296235141855,-0.590328229159049,1.4406244643009
25-Dec-2019 00:00:00,0.982264616920323,-0.718004318790646,1.70026893571097
26-Dec-2019 00:00:00,1.07068461357856,-0.787969099029432,1.85865371260799
27-Dec-2019 00:00:00,1.09596743084571,-0.808013692013256,1.90398112285896
28-Dec-2019 00:00:00,1.06559602009154,-0.789562358426641,1.85515837851818
29-Dec-2019 00:00:00,0.985624145110546,-0.744436575139391,1.73006072024994
30-Dec-2019 00:00:00,0.861620931025092,-0.68844445467861,1.5500653857037
31-Dec-2019 00:00:00,0.766964351741692,-0.625004815667839,1.39196916740953
01-Jan-2020 00:00:00,0.67539733971915,-0.555443941410244,1.23084128112939
02-Jan-2020 00:00:00,0.53110188283706,-0.493354858246403,1.02445674108346
03-Jan-2020 00:00:00,0.364002211738016,-0.436059761759863,0.800061973497879
04-Jan-2020 00:00:00,0.301003212383759,-0.395184218785629,0.696187431169388
05-Jan-2020 00:00:00,0.363023773224451,-0.37882411855097,0.741847891775421
06-Jan-2020 00:00:00,0.438056436711521,-0.398279602023388,0.836336038734909
07-Jan-2020 00:00:00,0.539160346312077,-0.451652298491872,0.990812644803949
08-Jan-2020 00:00:00,0.678061609060621,-0.534534599537523,1.21259620859814
09-Jan-2020 00:00:00,0.83245349761598,-0.624624269116552,1.45707776673253
10-Jan-2020 00:00:00,0.97388376636687,-0.703570419239228,1.6774541856061
11-Jan-2020 00:00:00,1.06961835391504,-0.759433723065205,1.82905207698024
12-Jan-2020 00:00:00,1.10768371224897,-0.780717065706776,1.88840077795574
13-Jan-2020 00:00:00,1.06240211171639,-0.780737079059416,1.8431391907758
14-Jan-2020 00:00:00,0.936461962381547,-0.75517915024827,1.69164111262982
15-Jan-2020 00:00:00,0.815926828974784,-0.716631622793235,1.53255845176802
16-Jan-2020 00:00:00,0.720681056897634,-0.678673181878639,1.39935423877627
17-Jan-2020 00:00:00,0.525546731814391,-0.635309916369219,1.16085664818361
18-Jan-2020 00:00:00,0.621877439324901,-0.598282746882873,1.22016018620777
19-Jan-2020 00:00:00,0.669139386187854,-0.557314153286418,1.22645353947427
20-Jan-2020 00:00:00,0.685774608854758,-0.522235464254728,1.20801007310949
21-Jan-2020 00:00:00,0.698603352772948,-0.505116016183725,1.20371936895667
22-Jan-2020 00:00:00,0.74861781023369,-0.557198006156013,1.3058158163897
23-Jan-2020 00:00:00,0.818775551630903,-0.628868115321127,1.44764366695203
24-Jan-2020 00:00:00,0.879730620245922,-0.676226442320695,1.55595706256662
25-Jan-2020 00:00:00,0.904687244097086,-0.695948317506593,1.60063556160368
26-Jan-2020 00:00:00,0.891943635462933,-0.69817314724599,1.59011678270892
